"","symbol","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","GOOGL","2015-03-13",559.23,564.36,550.33,553,1767000,553
"2","GOOGL","2015-03-12",558.48,561.84,555.53,561.17,1775500,561.17
"3","GOOGL","2015-03-11",559.8,564.18,555.41,555.69,2023200,555.69
"4","GOOGL","2015-03-10",568.48,569.76,559.82,559.85,1979300,559.85
"5","GOOGL","2015-03-09",570.92,575.45,569.05,574.1,1173900,574.1
"6","GOOGL","2015-03-06",582,582.78,572.06,572.9,1849700,572.9
"7","GOOGL","2015-03-05",579.62,583.2,578.23,581.43,1792400,581.43
"8","GOOGL","2015-03-04",576.97,581.63,572.52,578.33,1850500,578.33
"9","GOOGL","2015-03-03",576.35,580.85,570.5,578.79,2523300,578.79
"10","GOOGL","2015-03-02",567,575.99,563.15,575.02,2511500,575.02
"11","GOOGL","2015-02-27",558.15,569.42,557.03,562.63,3408000,562.63
"12","GOOGL","2015-02-26",545.74,560.13,545.09,559.29,2701600,559.29
"13","GOOGL","2015-02-25",538.44,549.57,538.01,547.33,2041800,547.33
"14","GOOGL","2015-02-24",531.55,539.4,531,538.65,1420300,538.65
"15","GOOGL","2015-02-23",539,539.3,532,535,1645300,535
"16","GOOGL","2015-02-20",547.58,547.58,538.1,541.8,1911700,541.8
"17","GOOGL","2015-02-19",542.47,546.86,540.75,546.45,1541700,546.45
"18","GOOGL","2015-02-18",543.82,547.55,539.55,542.65,1558200,542.65
"19","GOOGL","2015-02-17",551.16,553,543.26,545.01,1958700,545.01
"20","GOOGL","2015-02-13",547.51,552.54,546.6,551.16,2369100,551.16
"21","GOOGL","2015-02-12",539.66,548.34,537,546.01,2429500,546.01
"22","GOOGL","2015-02-11",539.73,541.95,536,538,1915300,538
"23","GOOGL","2015-02-10",532.15,541,529.17,540.16,2371500,540.16
"24","GOOGL","2015-02-09",531.06,533.88,527.55,529.28,1515700,529.28
"25","GOOGL","2015-02-06",531.01,540.22,528.65,533.88,2134400,533.88
"26","GOOGL","2015-02-05",527.93,530.69,525.64,529.83,1658800,529.83
"27","GOOGL","2015-02-04",533.14,536.75,525.03,526.1,1694800,526.1
"28","GOOGL","2015-02-03",529.94,537.45,526.81,533.3,2353100,533.3
"29","GOOGL","2015-02-02",534.32,536.5,521.72,532.2,3768900,532.2
"30","GOOGL","2015-01-30",519,543.1,518.18,537.55,6055400,537.55
"31","GOOGL","2015-01-29",512.9,515.19,503.48,513.23,3950900,513.23
"32","GOOGL","2015-01-28",525,525.69,512.35,512.43,1791100,512.43
"33","GOOGL","2015-01-27",531.4,532.78,520.86,521.19,1957400,521.19
"34","GOOGL","2015-01-26",541.5,541.5,532.07,536.72,1544700,536.72
"35","GOOGL","2015-01-23",538.03,545.41,535.75,541.95,2298300,541.95
"36","GOOGL","2015-01-22",523,538.84,521.91,537.3,2803400,537.3
"37","GOOGL","2015-01-21",510.84,521.85,509.59,520.39,2317800,520.39
"38","GOOGL","2015-01-20",512.77,515.61,509.37,509.94,2339800,509.94
"39","GOOGL","2015-01-16",503.15,510.85,503.09,510.46,2482900,510.46
